State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
RI,26170,23469,24361,24068,23124,22000,21968,25282,25697,27687,28746,29870,29935,28672,25762,24076,24688,25166,23343,20567,18287,16508,16135,16564,18217,20111,21323,21539,22255,20068,18674,17311,18676,17989,18757,17882,17647,18599,17649,17876,17815,18282,18034,18812,18082,17946,17201,16870,17146,17642,17109,16012,15370,16005,16876,16809,14863,15105,16588
SC,39661,40161,43542,44370,42249,41174,44467,45049,49067,51195,55006,57419,60926,65929,64295,61834,70404,75878,75725,71197,64414,61138,57351,59744,63948,64057,65002,66690,73560,70626,71532,73788,71839,73743,73463,74765,75911,81745,84323,85106,88016,89122,88824,91592,104891,101266,102534,100014,97413,100421,97151,93957,92069,95601,95222,101143,103338,104533,104840
SD,16118,16294,16959,17692,17629,16881,17514,17514,18515,18583,19666,20168,21226,20977,19550,19784,19840,20425,21177,22219,19362,17487,18477,17574,17204,17843,18463,19359,19304,20765,20828,18175,19310,20472,20908,21082,22008,21264,20897,21385,22057,20951,22677,21535,21621,22393,22069,22688,22029,22682,22270,22015,22852,22214,22634,22771,22639,22062,22728
TN,42250,43682,46816,48657,50502,53574,59707,61253,66237,70491,71627,74267,81798,89296,86576,90694,100840,106045,111080,103392,91930,90022,88599,87659,95081,98109,101068,99427,101142,103728,100925,96222,103209,105751,109488,113787,116725,117347,122898,126750,128373,130207,135933,138550,140586,145520,146689,145852,136685,128079,132376,131534,126786,128603,131674,134374,138567,139394,140563
TX,295360,299703,315888,350249,376396,384503,406604,425150,461793,503954,517973,531087,596717,650889,651477,629658,677418,749341,795318,874314,860139,834656,789363,784309,852982,848522,866671,884344,935895,944834,963066,979501,1020028,1009194,1061369,1062243,1141450,1225820,1238518,1224947,1200135,1192186,1231283,1242741,1284977,1239409,1265534,1249373,1099545,1080266,1200137,1207260,1242584,1321568,1309997,1368782,1403957,1447119,1575414
UT,22341,22288,23950,23937,24063,25029,27060,26761,28559,30075,29450,31965,33247,34054,35571,36391,36961,37754,38701,38409,35983,30812,30563,32316,32101,31809,34406,35172,35971,34694,35082,36933,36524,37422,38275,41718,44628,44529,45452,46806,49179,48013,47450,50082,50434,52803,56863,55550,52113,49781,49709,53554,52269,54162,53617,54430,56291,57233,58152
VA,78148,76190,78682,83445,85281,91120,94917,99065,104482,117181,131246,142325,150829,155082,149770,145379,151350,159051,155525,156947,131808,117313,110020,114200,122210,124308,133912,140535,145784,143074,136940,133304,132405,136063,138468,138371,142007,147660,149328,152310,160196,163545,158795,172612,183312,183975,179372,181158,167071,158416,158135,149570,154467,155204,155267,153035,151994,150818,154812
VT,8431,9102,9445,9442,8999,10572,11502,11481,12217,12586,13285,13285,14026,14295,12772,12647,14400,14252,14416,13008,11331,10811,9946,10791,12031,12574,12693,13950,14500,14424,13499,14472,15359,15259,15117,15121,15882,16073,15650,15732,16613,16984,16166,16468,17899,17251,17006,16668,15390,16755,16220,15893,15155,15889,16079,16481,15705,15612,15425
WA,63257,64463,66315,67444,69772,71937,76571,79538,88358,91563,90161,92628,98375,101399,95839,97622,99524,106797,110624,110319,105370,106320,103427,94370,107184,108432,120081,125343,130847,135811,135649,135333,149720,136862,143057,145928,147198,148502,148536,153062,151824,140994,135249,132237,136092,140346,145446,150450,143994,138781,137184,135150,138459,134762,132810,142684,154538,150105,152137
WI,71412,71196,73795,75197,75212,75656,79361,84563,87702,90556,93962,94842,98609,101832,97901,97579,105851,108692,112137,104200,88135,81772,81395,80502,82113,81424,82141,83046,88722,90380,88798,89586,89071,94208,96780,97962,103464,103371,106031,114163,112993,113958,115257,110519,115448,114781,113162,113691,109656,103165,104757,102150,99220,101925,108820,107153,105117,103859,109451
WV,22864,23805,25159,23592,23588,24788,25462,25557,26931,27451,28216,29382,31221,32729,33282,36145,39168,42551,40730,43004,40375,38114,35716,36755,36053,35492,33471,35386,36741,38232,37959,36621,36389,36596,38202,38321,34551,37151,39302,37325,37933,39873,41603,38910,42548,42308,43402,43284,41439,36803,39974,39121,38184,38660,38254,37594,39478,38048,42781
WY,13502,14432,16027,15320,15204,15401,14762,17029,18994,19624,18558,19578,20366,22036,22377,23321,24964,27310,30218,31158,30959,28631,26791,21243,21174,21280,20175,22915,23289,23704,22026,19663,20395,21965,21906,23693,24119,23277,22892,26177,26070,28020,26927,28398,27323,27927,30037,30732,30901,29871,30478,30885,31584,30021,31823,29571,28769,29076,29834
US,3585820,3641280,3796029,3921364,4034236,4202039,4410796,4584526,4901789,5159930,5364473,5552560,5990316,6317303,6078239,5957515,6390750,6727468,6879017,6757077,6242445,5861062,5582937,5559364,5755576,5740142,5942430,6082743,6325692,6323680,6200801,6100551,6234027,6291408,6467128,6469474,6701060,6796411,6904758,7124559,7210595,7171778,7212878,7312230,7587603,7592787,7550908,7548339,7136256,6851560,7000747,6893645,6766118,6922906,6971530,7129734,7205527,7284569,7484137
